user_id,service_id,nth_renewal,pay_date,start_date,expiration_date,amount,on_date,churn
10,10,2,2019-03-01,2019-03-01,2019-06-01,3,2019-05-18,
16,16,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
21,22,10,2019-05-13,2019-05-13,2019-06-13,1,2019-05-30,
50,53,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
54,57,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
56,59,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
58,61,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
59,62,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
61,64,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
67,74,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
68,76,0,2018-05-15,2018-05-15,2019-05-15,12,2019-05-01,
75,83,0,2018-05-16,2018-05-16,2019-05-16,12,2019-05-02,
83,93,0,2018-05-16,2018-05-16,2019-05-16,12,2019-05-02,
84,94,0,2018-05-16,2018-05-16,2019-05-16,12,2019-05-02,
87,97,0,2018-05-16,2018-05-16,2019-05-16,12,2019-05-02,
90,100,9,2019-04-14,2019-04-16,2019-05-16,1,2019-05-02,
92,102,0,2018-05-16,2018-05-16,2019-05-16,12,2019-05-02,
94,104,0,2018-05-16,2018-05-16,2019-05-16,12,2019-05-02,
95,105,6,2019-04-11,2019-04-16,2019-05-16,1,2019-05-02,
96,108,0,2018-05-17,2018-05-17,2019-05-17,12,2019-05-03,
93,114,11,2019-04-12,2019-04-19,2019-05-19,1,2019-05-05,
93,115,11,2019-04-12,2019-04-17,2019-05-17,1,2019-05-03,
106,125,0,2018-05-17,2018-05-17,2019-05-17,12,2019-05-03,
107,126,0,2018-05-17,2018-05-17,2019-05-17,12,2019-05-03,
109,128,11,2019-04-14,2019-04-17,2019-05-17,1,2019-05-03,
111,130,0,2018-05-18,2018-05-17,2019-05-17,12,2019-05-03,
113,132,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
116,135,0,2018-05-17,2018-05-17,2019-05-17,12,2019-05-03,
117,136,0,2018-05-17,2018-05-17,2019-05-17,12,2019-05-03,
118,137,0,2018-05-17,2018-05-17,2019-05-17,12,2019-05-03,
120,139,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
128,149,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
130,151,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
131,152,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
134,155,2,2019-02-15,2019-02-18,2019-05-18,3,2019-05-04,
136,157,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
137,158,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
138,159,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
139,160,0,2018-05-18,2018-05-18,2019-05-18,12,2019-05-04,
